Year,Country,"Fertility rate, total (births per woman)",GDP per capita (current US$),"Inflation, consumer prices (annual %)",Urban population (% of total population),Population growth (annual %),Net migration,"Unemployment, total (% of total labor force) (national estimate)","Secondary education, pupils",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$)
1984,"Korea, Rep.",1.74,2413.2765,2.274,63.301,1.23402,70940,3.8,4685353,..,..
1985,"Korea, Rep.",1.66,2482.4,2.4591,64.876,0.98457,82082,3.98,4828026,..,..
1986,"Korea, Rep.",1.58,2834.8903,2.75,66.679,0.99472,164516,3.81,4934975,..,..
1987,"Korea, Rep.",1.53,3554.606,3.0497,68.563,0.98513,166109,3.09,5028026,..,..
1988,"Korea, Rep.",1.55,4748.6406,7.1461,70.389,0.97919,155682,2.52,4895354,..,..
1989,"Korea, Rep.",1.56,5817.0656,5.7002,72.148,0.98909,148363,2.57,4824097,..,..
1990,"Korea, Rep.",1.57,6609.9973,8.5733,73.844,0.98513,69252,2.45,4697277,..,..
1991,"Korea, Rep.",1.71,7636.9481,9.3328,74.972,0.98979,-279446,2.41,4559557,..,..
1992,"Korea, Rep.",1.76,8126.6621,6.2133,75.82,1.03916,-272320,2.51,4443751,..,..
1993,"Korea, Rep.",1.65,8884.9195,4.801,76.645,1.01582,-244650,2.88,4461857,..,..
1994,"Korea, Rep.",1.66,10385.3905,6.2659,77.452,1.00616,-235658,2.48,4580040,..,..
1995,"Korea, Rep.",1.63,12564.7244,4.4807,78.239,1.0062,-230292,2.06,4645849,..,..
1996,"Korea, Rep.",1.57,13402.9946,4.9245,78.662,0.95278,-122607,2.05,4706541,..,..
1997,"Korea, Rep.",1.54,12398.4905,4.4389,78.905,0.93771,-125395,2.61,4567366,..,..
1998,"Korea, Rep.",1.46,8281.7195,7.5136,79.145,0.72187,-113294,6.96,4367683,..,..
1999,"Korea, Rep.",1.43,10672.4476,0.813,79.384,0.71079,-110955,6.34,4176780,..,..
2000,"Korea, Rep.",1.48,12257.0207,2.2592,79.621,0.83618,-72624,4.06,3958702,240.42,234.605
2001,"Korea, Rep.",1.31,11561.2072,4.0666,79.94,0.76724,-26859,3.7,3768040,276.71,223.371
2002,"Korea, Rep.",1.18,13165.0836,2.7623,80.299,0.57796,-13515,3.05,3661759,299.18,232.711
2003,"Korea, Rep.",1.19,14672.8058,3.5149,80.652,0.51832,-22385,3.35,3645617,352.78,280.312
2004,"Korea, Rep.",1.16,16496.1316,3.5907,81.002,0.39633,-33556,3.42,3702150,398.2,310.378
2005,"Korea, Rep.",1.09,19402.5026,2.7538,81.345,0.212,-36504,3.48,3795981,495.84,391.856
2006,"Korea, Rep.",1.13,21743.4775,2.2423,81.528,0.5252,-28341,3.25,3864005,616.62,445.576
2007,"Korea, Rep.",1.26,24086.4104,2.5346,81.631,0.50523,-39728,3.01,3928039,708.1,496.66
2008,"Korea, Rep.",1.19,21350.428,4.6739,81.733,0.75932,-20513,2.96,3958781,647.62,489.59
2009,"Korea, Rep.",1.15,19143.8516,2.7565,81.835,0.51468,4715,3.36,3994713,643.58,455.555
2010,"Korea, Rep.",1.23,23079.2601,2.9393,81.936,0.49823,56092,3.32,3959451,796.25,567.308
2011,"Korea, Rep.",1.24,25097.5954,4.026,81.923,0.76897,259829,2.99,3877799,868.14,639.419
2012,"Korea, Rep.",1.3,25459.1689,2.1871,81.851,0.52571,275552,2.81,3793127,880.5,672.831
2013,"Korea, Rep.",1.19,27179.517,1.3013,81.779,0.45522,288205,2.75,3720130,958.31,724.458
2014,"Korea, Rep.",1.21,29252.9312,1.2748,81.707,0.62815,296280,3.08,3579411,1057.65,822.795
2015,"Korea, Rep.",1.24,28737.4392,0.7063,81.634,0.52729,266322,3.55,3396766,1066.76,827.592
2016,"Korea, Rep.",1.17,29280.4403,0.9717,81.562,0.39685,102075,3.65,3231795,1131.53,876.571
2017,"Korea, Rep.",1.05,31600.7359,1.9443,81.503,0.28097,112523,3.65,3072037,1264.14,956.424
2018,"Korea, Rep.",0.98,33447.1563,1.4758,81.459,0.43352,118642,3.82,2893979,1435.05,1066.092
2019,"Korea, Rep.",0.92,31902.4169,0.383,81.43,0.34787,110799,3.75,2726376,1508.44,1097.549
2020,"Korea, Rep.",0.84,31721.2989,0.5373,81.414,0.13787,0,3.93,2673796,1584.49,1063.732
2021,"Korea, Rep.",0.81,35125.5225,2.4983,81.414,-0.12876,43440,3.64,2671594,1988.9,1271.552
2022,"Korea, Rep.",0.78,32394.6834,5.0895,81.427,-0.18749,29998,2.86,2631966,1919.52,1204.43
2023,"Korea, Rep.",1.12,33121.3713,3.5928,81.456,0.07748,29998,2.68,..,1956.13,1255.42
1984,Singapore,1.62,7228.3176,2.601,100,1.89022,31375,2.69,203936,..,..
1985,Singapore,1.61,7001.7667,0.4801,100,0.13665,31389,4.27,211489,..,..
1986,Singapore,1.43,6799.9304,-1.3857,100,-0.09449,37987,6.84,226526,..,..
1987,Singapore,1.62,7539.0293,0.5233,100,1.50383,34031,5,230206,..,..
1988,Singapore,1.96,8914.4412,1.5232,100,2.53777,26581,3.55,231359,..,..
1989,Singapore,1.75,10394.539,2.3455,100,2.93574,29014,2.35,229420,..,..
1990,Singapore,1.83,11861.7562,3.4608,100,3.88909,44423,2.35,220561,..,..
1991,Singapore,1.73,14502.38,3.4257,100,2.84548,71936,2.18,214584,..,..
1992,Singapore,1.72,16136.2405,2.2631,100,3.00426,71430,3.09,210304,..,..
1993,Singapore,1.74,18290.1301,2.2893,100,2.52981,68911,3.07,205683,..,..
1994,Singapore,1.71,21552.41,3.1001,100,3.13659,69606,3.03,210473,..,..
1995,Singapore,1.67,24914.8507,1.7205,100,3.03781,67448,3.3,213138,..,..
1996,Singapore,1.66,26232.8661,1.3832,100,4.06432,77188,3.57,..,..,..
1997,Singapore,1.61,26375.8654,2.0036,100,3.35744,70128,2.5,..,..,..
1998,Singapore,1.48,21829.2738,-0.2675,100,3.39721,74882,3.41,..,..,..
1999,Singapore,1.47,21796.6374,0.0167,100,0.79915,69080,4.85,..,..,..
2000,Singapore,1.6,23852.839,1.3616,100,1.73204,39387,3.7,..,287.91,504.515
2001,Singapore,1.41,21699.7415,0.9972,100,2.69736,32038,3.76,..,192.17,496.978
2002,Singapore,1.37,22159.8374,-0.3917,100,0.91264,22897,5.65,..,233.11,510.974
2003,Singapore,1.27,23730.384,0.5079,100,-1.47453,19770,5.93,..,308.96,524.39
2004,Singapore,1.26,27608.08,1.6627,100,1.25192,15629,5.84,..,275.48,573.1
2005,Singapore,1.26,29961.3173,0.4251,100,2.35051,80422,5.59,..,294.38,598.05
2006,Singapore,1.28,33768.4528,0.9629,100,3.12939,149376,4.48,..,329.77,642.423
2007,Singapore,1.29,39432.886,2.1049,100,4.166,147762,3.9,232100,368.74,732.254
2008,Singapore,1.28,40008.572,6.6278,100,5.32152,145016,3.96,231144,476.96,801.535
2009,Singapore,1.22,38926.8054,0.5967,100,3.01595,142947,5.86,232003,459.31,857.522
2010,Singapore,1.15,47236.6831,2.8237,100,1.77183,109045,4.12,214388,533.67,953.71
2011,Singapore,1.2,53891.457,5.2478,100,2.0849,72396,3.89,207974,620.01,1050.376
2012,Singapore,1.29,55547.5553,4.5756,100,2.45339,67992,3.72,202520,717.23,1107.745
2013,Singapore,1.19,56967.4258,2.3586,100,1.61931,67504,3.86,197165,862.96,1206.406
2014,Singapore,1.25,57564.8023,1.0251,100,1.29844,60308,3.74,190107,985.57,1202.768
2015,Singapore,1.24,55645.6069,-0.5226,100,1.18638,40958,3.79,186036,1072.9,1206.116
2016,Singapore,1.2,56899.9182,-0.5323,100,1.29744,36498,4.08,179225,1160.35,1290.548
2017,Singapore,1.16,61162.0974,0.5763,100,0.0886,35449,4.2,171319,1254.59,1344.706
2018,Singapore,1.14,66840.6373,0.4386,100,0.4697,35726,4.1,166709,1320.95,1320.553
2019,Singapore,1.14,66081.7199,0.5653,100,1.14428,40624,3.1,164436,1461.32,1364.685
2020,Singapore,1.1,61466.8037,-0.1819,100,-0.3119,21324,4.1,165108,2017.88,1349.874
2021,Singapore,1.12,79601.413,2.3049,100,-4.17034,19321,4.64,167170,2500.82,1469.076
2022,Singapore,1.04,88428.7024,6.1211,100,3.30862,26998,3.59,..,2544.21,1522.14
2023,Singapore,1.17,84734.2559,4.8215,100,4.85832,26998,..,..,2574.12,1575.26
1984,Ukraine,2.09,..,..,64.1,0.37506,1836,..,4745500,..,..
1985,Ukraine,2.06,..,..,64.681,0.32064,-23788,..,4777300,..,..
1986,Ukraine,2.08,..,..,65.258,0.35289,-33253,..,4823500,..,..
1987,Ukraine,2.05,1265.3727,..,65.83,0.38285,-37119,..,..,..,..
1988,Ukraine,2.02,1452.6525,..,66.399,0.44352,-10389,..,4893900,..,..
1989,Ukraine,1.94,1559.3375,..,66.718,0.48793,22677,..,..,..,..
1990,Ukraine,1.85,1532.5046,..,66.757,0.22843,49782,..,4843900,..,..
1991,Ukraine,1.78,1474.3448,..,66.796,0.21003,104501,..,4773700,..,..
1992,Ukraine,1.67,1417.1708,..,66.835,0.28785,204389,..,4731700,..,..
1993,Ukraine,1.56,1258.1295,4734.9143,66.874,0.05521,-7382,..,4701000,..,..
1994,Ukraine,1.47,1012.0987,891.1877,66.912,-0.49529,-222324,..,4731200,..,..
1995,Ukraine,1.4,935.9587,376.7462,66.951,-0.79007,-124586,5.62,..,..,..
1996,Ukraine,1.34,872.7135,80.3255,66.99,-0.8872,-162706,7.65,..,..,..
1997,Ukraine,1.27,991.2428,15.9406,67.029,-0.91135,-113342,8.93,..,..,..
1998,Ukraine,1.21,835.2366,10.5772,67.067,-0.8936,-122825,11.32,..,..,..
1999,Ukraine,1.13,635.7579,22.6837,67.106,-0.94272,-78867,11.86,5214106,..,..
2000,Ukraine,1.12,658.3446,28.2031,67.145,-1.00658,-77752,11.71,5204485,17,18
2001,Ukraine,1.08,807.8019,11.9588,67.183,-1.05092,-109322,11.06,5123602,22,23
2002,Ukraine,1.1,911.9069,0.7574,67.283,-0.94964,-36318,10.14,4982947,27,26
2003,Ukraine,1.17,1087.7881,5.1797,67.427,-0.81138,11140,9.06,4824077,38,30
2004,Ukraine,1.22,1416.6038,9.0481,67.597,-0.75857,-11530,8.59,4445974,47,38
2005,Ukraine,1.21,1894.4601,13.5696,67.79,-0.7328,-4936,7.18,4042827,68,48
2006,Ukraine,1.31,2391.324,9.0525,67.969,-0.67606,12013,6.81,3896263,90,58
2007,Ukraine,1.35,3197.9343,12.8388,68.147,-0.59687,11518,6.35,3708736,110,75
2008,Ukraine,1.46,4066.5317,25.2265,68.325,-0.5415,16490,6.36,3498524,126,89
2009,Ukraine,1.47,2639.3782,15.8812,68.502,-0.44384,18178,8.84,3288557,98,69
2010,Ukraine,1.44,3078.4148,9.3729,68.596,-0.39726,8366,8.1,3132972,110,92
2011,Ukraine,1.46,3704.8423,7.9557,68.689,-0.3596,13301,7.85,2925709,123,121
2012,Ukraine,1.53,4004.7898,0.5687,68.782,-0.24698,68840,7.53,2899116,145,129
2013,Ukraine,1.51,4187.7397,-0.2389,68.875,-0.22769,34043,7.17,2803364,135,144
2014,Ukraine,1.5,3104.6538,12.0719,68.968,-0.47926,-65667,9.27,2713646,102,109
2015,Ukraine,1.51,2124.6626,48.6999,69.061,-0.23177,-21937,9.14,2370298,75,80
2016,Ukraine,1.47,2187.7275,13.9127,69.154,-0.28627,-54333,9.35,2325864,76,79
2017,Ukraine,1.37,2638.3254,14.4383,69.246,-0.35027,-50447,9.5,2334978,88,95
2018,Ukraine,1.3,3096.5625,10.9519,69.352,-0.42463,-33273,8.8,2376848,103,116
2019,Ukraine,1.23,3661.4578,7.8867,69.473,-0.48466,-7812,8.19,2444548,111,135
2020,Ukraine,1.22,3751.7373,2.7325,69.608,-0.60161,-2173,9.48,2539454,133,137
2021,Ukraine,1.16,4827.8457,9.3631,69.757,-0.81486,831,9.83,2616422,188,180
2022,Ukraine,1.27,4575.9751,20.1836,69.919,-14.31654,-6673580,..,2542145,187,185
2023,Ukraine,1.22,5181.3628,12.849,70.095,-2.66682,1784718,..,2551246,200,187
1984,Moldova,2.67,..,..,43.412,0.97365,-6305,..,..,..,..
1985,Moldova,2.66,..,..,44.176,0.96429,-6410,..,..,..,..
1986,Moldova,2.74,..,..,44.944,0.98302,-7486,..,..,..,..
1987,Moldova,2.78,..,..,45.714,1.02878,-8289,..,..,..,..
1988,Moldova,2.63,..,..,46.488,0.90869,-9691,..,..,..,..
1989,Moldova,2.47,..,..,46.856,0.7102,-12238,..,..,..,..
1990,Moldova,2.39,1204.0716,..,46.762,0.46165,-14931,..,470068,..,..
1991,Moldova,2.28,1037.0385,..,46.669,0.24354,-16473,..,459701,..,..
1992,Moldova,2.22,779.8155,1026.8263,46.575,0.08106,-17859,..,448404,..,..
1993,Moldova,2.11,797.263,1613.604,46.481,-0.02702,-19258,..,441955,..,..
1994,Moldova,1.99,573.629,486.4256,46.387,-0.2434,-21551,..,444422,..,..
1995,Moldova,1.83,593.5866,29.8656,46.294,-0.48592,-25033,..,441573,..,..
1996,Moldova,1.73,575.1455,23.5057,46.2,-0.20022,-29171,..,440622,..,..
1997,Moldova,1.76,657.2921,11.7728,45.797,-0.36984,-34189,..,445501,..,..
1998,Moldova,1.65,578.7346,7.6958,45.394,-0.0404,-40503,..,..,..,..
1999,Moldova,1.56,399.4998,39.256,44.992,-0.15701,-47481,11.14,415319,..,..
2000,Moldova,1.5,440.5387,31.2993,44.589,-0.20337,-44421,8.54,413910,10,10
2001,Moldova,1.46,507.4041,9.7647,44.189,-0.22363,-46128,7.37,413418,12,13
2002,Moldova,1.44,570.7999,5.3012,43.789,-0.23158,-46960,6.85,413916,16,16
2003,Moldova,1.48,682.3191,11.7461,43.389,-0.2816,-49890,6.38,410590,18,19
2004,Moldova,1.54,897.1785,12.5243,42.99,-0.24745,-40505,6.37,406716,38,25
2005,Moldova,1.53,1034.392,11.9592,42.775,-0.24332,-51269,5.63,394469,42,34
2006,Moldova,1.54,1183.0248,12.7778,42.744,-0.27792,-68092,4.26,381543,49,47
2007,Moldova,1.57,1531.2162,12.3672,42.713,-0.23172,-69289,2.75,367636,69,61
