Year,Country,"Fertility rate, total (births per woman)",GDP per capita (current US$),"Inflation, consumer prices (annual %)",Urban population (% of total population),Population growth (annual %),Net migration,"Unemployment, total (% of total labor force) (national estimate)","Secondary education, pupils",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$)
1984,Niger,7.92,209.5318,8.364,14.31,3.0168,-9227,..,47188,..,..
1985,Niger,7.93,200.4255,-0.923,14.54,3.0193,-6141,..,47324,..,..
1986,Niger,7.9,257.0199,-3.208,14.76,3.025,-2731,..,47145,..,..
1987,Niger,7.87,292.4088,-6.712,14.99,3.0342,-2347,..,52478,..,..
1988,Niger,7.84,289.6701,-1.394,15.21,3.0393,-1148,..,58489,..,..
1989,Niger,7.82,268.5494,-2.844,15.29,3.0503,619,..,65816,..,..
1990,Niger,7.81,419.6039,-0.776,15.37,3.0885,84,..,68352,..,..
1991,Niger,7.8,380.5366,-7.797,15.45,3.1051,-1513,..,76758,..,..
1992,Niger,7.8,380.1491,-4.476,15.53,3.1128,-2266,..,76916,..,..
1993,Niger,7.79,332.0622,-1.215,15.61,3.1541,-2277,..,80009,..,..
1994,Niger,7.79,204.1496,36.041,15.69,3.2138,-966,..,71056,..,..
1995,Niger,7.78,234.6196,10.563,15.77,3.3213,3837,..,81054,..,..
1996,Niger,7.76,237.015,5.289,15.86,3.3666,-8065,..,92608,..,..
1997,Niger,7.76,218.2461,2.934,15.94,3.3355,-13699,..,97675,..,..
1998,Niger,7.76,243.5176,4.548,16.02,3.3796,-7303,..,98978,..,..
1999,Niger,7.75,225.9535,-2.302,16.1,3.4101,-12054,..,104933,..,..
2000,Niger,7.73,192.8777,2.900,16.19,3.4238,-8533,..,106182,2.17241,5.954
2001,Niger,7.7,203.5265,4.006,16.26,3.4565,-8668,1.47,108033,2.32514,6.371
2002,Niger,7.67,223.3524,2.629,16.26,3.4722,-9560,..,112033,2.68899,7.046
2003,Niger,7.65,263.0912,-1.614,16.25,3.5045,-8855,..,126137,2.80841,8.379
2004,Niger,7.63,281.3254,0.263,16.25,3.5492,-9082,..,158343,3.31124,9.209
2005,Niger,7.62,316.3656,7.798,16.24,3.5882,-9710,3.1,181641,6.05636,10.512
2006,Niger,7.58,331.1038,0.041,16.24,3.6144,-10071,..,216961,6.79594,10.909
2007,Niger,7.56,384.7183,0.054,16.23,3.6412,-10086,..,217378,5.76138,12.345
2008,Niger,7.54,472.1784,11.305,16.23,3.6725,-9853,..,234029,7.30303,14.356
2009,Niger,7.51,458.4219,0.583,16.23,3.7012,-9028,..,256555,7.02997,14.456
2010,Niger,7.49,471.6127,0.804,16.22,3.7307,-8045,..,306675,6.17178,14.293
2011,Niger,7.45,507.6025,2.942,16.22,3.7467,-6953,0.32,342391,6.44541,15.592
2012,Niger,7.4,525.0473,0.455,16.21,3.8106,18714,2.18,388641,5.44822,14.145
2013,Niger,7.34,548.1578,2.297,16.21,3.8182,-2551,..,439160,7.3342,14.208
